day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;AMETHYSTS;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
0;0;STARFRUIT;5036;23;;;;;5043;23;;;;;5039.5;0.0
0;100;AMETHYSTS;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;0.0
0;100;STARFRUIT;5042;1;5039;2;5037;1;5043;22;;;;;5042.5;0.0
0;200;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
0;200;STARFRUIT;5037;1;5036;21;;;5043;1;5044;21;;;5040.0;0.0
0;300;STARFRUIT;5042;1;5037;26;;;5044;26;;;;;5043.0;0.0
0;300;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;5.0
0;400;AMETHYSTS;9998;8;9996;2;9995;26;10004;2;10005;26;;;10001.0;5.0
0;400;STARFRUIT;5037;28;;;;;5044;28;;;;;5040.5;-15.5703125
0;500;AMETHYSTS;9998;8;9996;1;9995;23;10004;1;10005;23;;;10001.0;5.0
0;500;STARFRUIT;5037;24;;;;;5042;3;5044;24;;;5039.5;-13.18359375
0;600;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;5.0
0;600;STARFRUIT;5041;5;5037;30;;;5044;30;;;;;5042.5;-15.1796875
0;700;STARFRUIT;5036;22;;;;;5043;23;;;;;5039.5;-15.64453125
0;700;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;5.0
0;800;AMETHYSTS;9996;1;9995;24;;;10000;3;10004;1;10005;24;9998.0;5.0
0;800;STARFRUIT;5036;25;;;;;5039;3;5043;25;;;5037.5;-17.693359375
0;900;AMETHYSTS;9996;1;9995;20;;;9998;11;10004;1;10005;20;9997.0;8.0
0;900;STARFRUIT;5036;21;;;;;5043;21;;;;;5039.5;-17.39453125
0;1000;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;30.0
0;1000;STARFRUIT;5037;1;5036;30;;;5043;31;;;;;5040.0;-16.109375
0;1100;STARFRUIT;5037;22;;;;;5043;1;5044;21;;;5040.0;-14.392578125
0;1100;AMETHYSTS;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;30.0
0;1200;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;30.0
0;1200;STARFRUIT;5036;23;;;;;5037;1;5043;23;;;5036.5;-16.7578125
0;1300;AMETHYSTS;10002;1;9995;25;;;10005;25;;;;;10003.5;30.0
0;1300;STARFRUIT;5036;25;;;;;5043;25;;;;;5039.5;-43.828125
0;1400;AMETHYSTS;9995;23;;;;;10000;6;10005;23;;;9997.5;32.0
0;1400;STARFRUIT;5036;23;;;;;5039;6;5043;23;;;5037.5;-45.0
0;1500;STARFRUIT;5041;1;5036;21;;;5043;21;;;;;5042.0;-47.7734375
0;1500;AMETHYSTS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;32.0
0;1600;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;40.0
0;1600;STARFRUIT;5037;30;;;;;5043;2;5044;28;;;5040.0;-108.4375
0;1700;AMETHYSTS;9995;28;;;;;10005;28;;;;;10000.0;40.0
0;1700;STARFRUIT;5036;28;;;;;5041;8;5043;28;;;5038.5;-111.7109375
0;1800;AMETHYSTS;10000;4;9995;23;;;10002;10;10005;23;;;10001.0;40.0
0;1800;STARFRUIT;5040;4;5036;23;;;5044;23;;;;;5042.0;-109.96875
0;1900;STARFRUIT;5036;31;;;;;5043;32;;;;;5039.5;-117.0546875
